carrier_bin_shift,mean_expected_pilot_coherence,mean_expected_pilot_nmse
-4,0.0398275359931215,0.9984137668523106
-3,0.02649019189170107,0.9992982694516442
-2,0.05540255697048025,0.9969305563847706
-1,0.04961659359669323,0.9975381935329715
0,0.998130806872036,0.00373489236881919
1,0.04288878971232099,0.9981605511004273
2,0.059269489883260786,0.9964871270628675
3,0.02378555063050171,0.9994342474780846
4,0.04070523681394771,0.998343083670138
