group,ldpc_block,success,iterations,llr_min,llr_median_abs,llr_mean_abs,llr_max,hard_one_fraction
1,1,False,60,-40.30494011991975,40.00454419168205,39.95089614621887,40.163117317991365,0.4364754098360656
1,2,False,60,-40.261515234608915,40.004061010484634,39.9501455870658,40.1642018592981,0.42349726775956287
1,3,False,60,-40.312769555852086,40.003865721658016,39.952807872442975,40.1650678539273,0.4412568306010929
1,4,False,60,-40.34100082495018,40.009154322282185,39.95177194547644,40.15810711114002,0.43579234972677594
1,5,False,60,-40.29226814886827,40.00316938832003,39.95194166496672,40.163824673140745,0.43169398907103823
1,6,False,60,-40.27856776674588,40.00665350622726,39.95214417781288,40.16386079395549,0.4385245901639344
1,7,False,60,-40.308596344148135,40.008510935532826,39.951332963161065,40.16083966959272,0.42691256830601093
1,8,False,60,-40.2803158375105,39.99834379184122,39.949103249869985,40.16093360482349,0.43101092896174864
1,9,False,60,-40.26536966418605,40.00456897210911,39.95141028621625,40.16521720367155,0.421448087431694
1,10,False,60,-40.30057193673655,40.00781787944173,39.95217605305249,40.17106648962486,0.44193989071038253
1,11,False,60,-40.33703486378782,40.002565001526335,39.95162658936463,40.16539719035524,0.430327868852459
1,12,False,60,-40.309490668541414,40.00158302726743,39.95087874195371,40.1609579867608,0.4228142076502732
1,13,False,60,-40.27596233920172,40.004061428822894,39.94969220732634,40.161678150591406,0.44193989071038253
1,14,False,60,-40.292054482485156,40.00126253018321,39.94868464243619,40.1636639724344,0.40915300546448086
1,15,False,60,-40.316459573346656,40.00293038116577,39.950215896429434,40.16275529368341,0.4255464480874317
1,16,False,60,-40.293802196738916,40.007680912572965,39.951750250532506,40.16541386256058,0.43579234972677594
1,17,False,60,-40.29977101380987,40.0041442440143,39.95024449432991,40.159216758350325,0.42418032786885246
1,18,False,60,-40.34221831197261,40.00145158153164,39.95060813100293,40.16734391638913,0.4262295081967213
1,19,False,60,-40.27835700750305,40.001912292582986,39.94974231068077,40.16555574755151,0.42418032786885246
1,20,False,60,-40.32804652015355,40.003253012174795,39.950615821502446,40.1698812422282,0.43920765027322406
1,21,False,60,-40.27103413418534,40.00413780333823,39.95000931784467,40.16059455462419,0.4173497267759563
1,22,False,60,-40.33109727457116,40.00199640863267,39.95000917719883,40.17632987177188,0.421448087431694
1,23,False,60,-40.28791784714122,40.00374328894805,39.95026471231471,40.16143405585565,0.4323770491803279
1,24,False,60,-40.33074601294751,40.00529043400567,39.95093909500588,40.15887742662685,0.4228142076502732
1,25,False,60,-40.31355922667581,40.00331757031694,39.95071839029112,40.16013774738632,0.421448087431694
1,26,False,60,-40.31707464101402,40.0058987983674,39.95325440163381,40.16414934068521,0.4344262295081967
1,27,False,60,-40.289397991460575,40.006373904525624,39.95089174524494,40.16110156088781,0.4385245901639344
