ofdm_block,cp_correlation,block_rms,block_peak
1,0.9999805252603924,0.1926254743455088,0.6867692368048105
2,0.9999865090807042,0.19773698000215736,0.7195147150033689
3,0.9999969862628107,0.1991559204458894,0.6861065176399741
4,0.9999898670541443,0.1905524319328688,0.7863375899654191
5,0.999991145499212,0.1984569589185555,0.6467953416270416
6,0.9999942215452086,0.19504615049155002,0.7207872751114321
7,0.99998666023529,0.20055716290249456,0.6932023885682659
8,0.9999999597620671,0.1863907031685833,0.7784294640699889
9,0.9999902764522883,0.1974238988972618,0.7495465421235459
10,0.9999696635549745,0.1914563935219096,0.5764970421814419
11,0.9999458941374989,0.18900995430613154,0.8388066344063202
12,0.9999687605979479,0.17141872934094948,0.8325041918316898
13,0.9999699936440672,0.19277678407208326,0.7316510513123323
14,0.9999927794951584,0.19723043932887563,0.6224601120002305
15,0.9999738966274793,0.1904451850509533,0.7302587259988886
16,0.9999934138204598,0.20068903156751827,0.8414687916605371
17,0.9999644222329147,0.20002205529836692,0.7476660020368857
18,0.9999991904157245,0.19072238174021722,0.8559485519983708
19,0.999977612512392,0.18770386835232394,0.7322574576167504
20,0.9999558052629756,0.17415913362132052,0.43335612248367344
21,0.9999971793834008,0.19076705894582507,0.7667897806464609
22,0.9999506644366372,0.18452897439682125,0.730802810697221
23,0.9999870184904597,0.19398123766962042,0.7477974493495565
24,0.9999855810879364,0.19726544567211704,0.7481989999899293
25,0.9999899152732946,0.19654508914677318,0.7221671541796261
26,0.9999878940311114,0.18518588662577398,0.8114038142282174
27,0.9999489679380049,0.1914087331650919,0.7408179167251447
28,0.9999853928639898,0.18600725514211602,0.7763123429213551
29,0.9999810245162007,0.18118593157812485,0.7739416338729824
30,0.9999834258002258,0.19028933949618954,0.7390296390686429
31,0.9999926902134442,0.1950080324241737,0.6660798641033777
32,0.9999499902011023,0.19366055250879044,0.7226034526061477
33,0.9999934948908298,0.19353406052711639,0.617322688507598
34,0.9999965789413199,0.20029676126872895,0.6714694225277321
35,0.9999875409265201,0.19948455119667627,0.6996695517873968
36,0.9999968245546452,0.1819198320406674,0.8096339336086951
37,0.9999146047535109,0.19242549528289232,0.6272699814311147
