sample,metric,relative_to_max
2,147.91415008174215,0.9999999999999931
4098,147.91415008174215,0.9999999999999931
8194,147.91415008174218,0.9999999999999932
12290,147.91415008174215,0.9999999999999931
16386,147.91415008174215,0.9999999999999931
20482,147.91415008174215,0.9999999999999931
24578,147.91415008174218,0.9999999999999932
28674,147.91415008174215,0.9999999999999931
32770,147.91415008174218,0.9999999999999932
36866,147.90530608760153,0.9999402085998077
43258,14.526975043108163,0.09821220643920806
49428,13.358829871732205,0.09031475260716836
55546,14.526975043108163,0.09821220643920806
61716,13.358829871732205,0.09031475260716836
67834,14.526975043108164,0.09821220643920806
74004,13.358829871732205,0.09031475260716836
80122,14.526975043108163,0.09821220643920806
86292,13.358829871732205,0.09031475260716836
103806,9.243305194514924,0.062491013803660504
189426,10.880135578965051,0.07355709763367643
232230,9.361767655211645,0.06329190040329451
255472,9.488131290337426,0.06414620430225176
341450,8.956979974058275,0.060555261069399346
349336,10.28078970731948,0.06950511294313567
412378,9.026044632587778,0.061022185014751
546174,9.037866786686479,0.061102110796646555
558896,8.9380596889041,0.060427347106173264
589219,9.250910434988588,0.06254243038868271
636235,8.912226073104065,0.060252694337754834
856249,8.847804595388487,0.0598171614446545
