ofdm_block,expected_pilot,known_pilot_coherence,known_pilot_nmse_after_scalar_gain,best_scalar_gain_magnitude,best_scalar_gain_phase_rad,band_rms
1,False,0.034839528560463795,0.9987862072496838,0.03227060420435199,-2.5024241872771795,15.719222854315655
2,False,0.018133020625806802,0.9996711935629836,0.01679618405564605,0.7062814323547862,15.719427079106966
3,False,0.0560907884426948,0.9968538234518766,0.05196622209836386,1.5771577421515928,15.722653530224022
4,False,0.038523752703998944,0.9985159204776004,0.03568941841627589,0.16855334759604543,15.721975980475921
5,False,0.03540573966238212,0.9987464335989594,0.032805749754170825,-0.8691275252320949,15.724344132415075
6,False,0.04443374385559016,0.9980256424069757,0.041166595495511396,-3.097111719409577,15.72274202840686
7,False,0.04272256540980761,0.9981747824048045,0.03957707884199301,2.2748025442323336,15.721090094821019
8,False,0.03658437963895451,0.998661583166432,0.03389808995520618,2.462061260769323,15.724461322444041
9,False,0.04257975396005626,0.9981869645527006,0.039449146879673234,0.014412130093725812,15.72282975433381
10,False,0.05386627330470616,0.9970984246002624,0.04991060441929783,-0.19008179902029315,15.724329754925023
11,False,0.07413313089717746,0.9945042789033819,0.0686924548583616,-0.8964373652115091,15.72508271824715
12,False,0.012674541984484144,0.9998393559854848,0.011744066154474344,-1.1142443648379077,15.724703254820197
13,False,0.02118090983655526,0.9995513690584961,0.01962268477014579,-0.537608343289717,15.72208208972314
14,False,0.027649046333287245,0.9992355302368601,0.025616498480806046,-0.481560677626653,15.723015890837889
15,False,0.015552084998470385,0.9997581326522014,0.014408836592615683,0.49846809767127304,15.723040708148671
16,False,0.033499066173521275,0.9988778125655027,0.031040093820893518,1.9191715323423377,15.724852065352948
17,False,0.058870381471525256,0.9965342781853966,0.05453840642671885,-1.0746098646474316,15.721784458187255
18,False,0.04383680801033366,0.998078334263465,0.04061951237057355,-1.8361011940615264,15.725049673663827
19,False,0.007361710041269324,0.9999458052252688,0.0068215069603031805,-0.5848471512275231,15.725261014088746
20,True,0.9981338415653985,0.003728834321899782,0.9247756013248253,-0.15124268003147562,15.723304547945586
21,False,0.0056464188318171545,0.9999681179543752,0.005231451130845036,-1.8009818317133641,15.723358880380085
22,False,0.02560604175535485,0.9993443306256217,0.023719405812178605,0.19960367874620397,15.720183093429153
23,False,0.03602999866802371,0.9987018391959815,0.03337585355762372,-0.6115277691248114,15.720428476904669
24,False,0.00912482385793657,0.9999167375895613,0.008453461358919183,0.14880064699106746,15.721946929264453
25,False,0.007256315441691795,0.9999473458862101,0.006723497266999812,-1.6098762476342072,15.724444888828028
26,False,0.017824931178411774,0.9996822718284852,0.016515056331816658,2.084021066788379,15.723471634671515
27,False,0.02879632815941619,0.9991707714845355,0.026676651265962782,-1.8570620234505357,15.721371895820274
28,False,0.014047900695226977,0.999802656486057,0.013014780130290197,0.11187536183093844,15.722501721112474
29,False,0.019430622724443534,0.9996224509005402,0.01800197585677866,1.928233490498039,15.722793098633531
30,False,0.029925195011863616,0.999104482703502,0.02772341607080073,-0.5208784541921505,15.72193503986005
31,False,0.021194327621429268,0.9995508004766761,0.01963772702900161,-0.3125389845494117,15.724173219167374
32,False,0.008901627776763007,0.9999207610229244,0.008246708814601825,1.959348007786412,15.721988485291549
33,False,0.040055446995482066,0.9983955611659934,0.037109685913093174,1.4073063175256089,15.722512182561834
34,False,0.05192160968849972,0.9973041464473551,0.048106549330740836,-1.3879698247581,15.723611400493159
35,False,0.007640597810732587,0.9999416212650942,0.007078905491842295,0.27508616836663835,15.72298566364805
36,False,0.05554813560614372,0.9969144046306813,0.051478709880214524,-0.9118037513336303,15.727308697219478
37,False,0.03925945254736666,0.9984586953856818,0.036369697722861895,-1.2721450908468914,15.72141732247292
38,False,0.03818693947925267,0.9985417576532072,0.03537453467753102,-0.13629736564469544,15.720708929014414
39,False,0.05237125810160451,0.9972572513248553,0.04853247896166193,0.4723596489268743,15.726631542059474
40,True,0.9981323994328989,0.0037317132023222846,0.9247833473180281,-0.15129390327129286,15.723458965287685
41,False,0.036734359931559254,0.9986505868004192,0.03403320881090303,2.420659086332326,15.722683251689327
42,False,0.014053680419105073,0.9998024940666779,0.013021005344364716,0.13176426008475958,15.723552952321157
43,False,0.024602968393235138,0.9993946939462416,0.022797785157178976,1.5964069824266665,15.725388796686264
44,False,0.017822517149418012,0.9996823578824592,0.01651169362106696,2.067375921158179,15.72239938560513
45,False,0.027488332773263915,0.9992443915613463,0.025472201204441637,1.5220037308556569,15.725856946197197
46,False,0.03039059384015047,0.9990764118060432,0.028155768170773504,1.6643467814727764,15.722602624579793
47,False,0.0037894496043737813,0.9999856400716962,0.0035109914039734478,-2.366255180429844,15.723523506348723
48,False,0.040261855385134125,0.9983789830009464,0.037299852820874085,-0.08188410074306841,15.722064637868819
49,False,0.04713727651657189,0.9977780771626014,0.043671237608980604,-1.2897352081848477,15.72270468121563
50,False,0.031469235591349363,0.999009687211296,0.029156276962958288,0.20990114384671105,15.723242665858658
51,False,0.03989011402417478,0.9984087788031388,0.03696082694198294,-0.3318815616508582,15.724347954342628
52,False,0.06248812769183947,0.9960952338975682,0.05789827548147719,-0.46581915217449127,15.724047965279984
53,False,0.010466278147225385,0.9998904570217447,0.00969726068604591,-3.0649053681551317,15.723638207007678
54,False,0.044541298963167116,0.9980160726866742,0.04127303753393772,-1.0627228921451382,15.725331088102115
55,False,0.02899466343926042,0.999159309492044,0.026863605871714467,-0.58459111155248,15.723255765714045
56,False,0.023961664963769193,0.9994258386121644,0.022201448331492117,-1.2763587358383992,15.723910362086695
57,False,0.013986353301447513,0.9998043819213274,0.012958209612230608,-2.1308269364344556,15.723048359540547
