sample,metric,relative_to_max
4800,37.23067524066897,0.9999999999999731
8896,37.23067524066897,0.9999999999999731
12992,37.23067524066897,0.9999999999999731
17088,37.230675240668965,0.9999999999999729
21184,37.23067524066897,0.9999999999999731
25280,37.230675240668965,0.9999999999999729
29376,37.230675240668965,0.9999999999999729
33472,37.23067524066897,0.9999999999999731
37568,37.230675240668965,0.9999999999999729
41664,37.230675240668965,0.9999999999999729
119936,3.5311983507014775,0.09484647613492848
143488,3.6907536324898795,0.09913206270452439
158499,3.5086368547498474,0.09424048401134259
183578,3.533783357517245,0.09491590831146186
192595,3.5221093341669256,0.09460234904145522
320304,3.480673090556854,0.09348938927528885
358510,3.479134874075703,0.09344807343905416
387470,3.5371290984157326,0.09500577347981726
401163,3.6149216149528054,0.09709524717413516
409731,3.850591769417873,0.10342524664209074
426879,3.7105699753941837,0.09966432119234943
477326,3.6843521877464362,0.09896012263891821
534843,3.6730063548154592,0.09865537842308988
554918,3.8308852899273105,0.10289593903853066
564634,4.83268884228478,0.1298039536227819
606089,3.84930119080313,0.10339058225294387
610185,3.989012510817582,0.10714316850369858
637419,3.6964804473250314,0.09928588249957597
643563,3.59015471522735,0.09643001884922955
671097,3.5523998428674846,0.0954159391389958
