sample,metric,relative_to_max
24000,20.485014456778515,0.9999999999999513
28096,20.485014456778515,0.9999999999999513
32192,20.48501445677851,0.999999999999951
36288,20.485014456778515,0.9999999999999513
40384,20.48501445677851,0.999999999999951
44480,20.485014456778515,0.9999999999999513
48576,20.485014456778515,0.9999999999999513
52672,20.485014456778515,0.9999999999999513
56768,20.485014456778515,0.9999999999999513
60864,20.485014456778515,0.9999999999999513
116694,4.402093248902441,0.21489334353120598
131199,5.397621762136204,0.2634912351916775
138154,4.394473484032552,0.2145213757746801
146256,4.568584661114126,0.22302081703448118
151732,4.259013357935937,0.20790873088822337
157479,4.732114858965341,0.23100373538663763
170657,4.649493664009285,0.22697048487903487
174753,4.542690844129957,0.22175677999712393
177928,4.302229616389986,0.21001838321701372
192869,4.304967125624126,0.21015201794008972
202899,4.228350461399976,0.20641188564065688
213136,4.198420855783063,0.20495083684910925
217230,4.864253477107332,0.23745423696772192
228487,4.306056689552485,0.2102052062807989
246762,4.233401686680813,0.20665846712545372
258867,4.403049900698122,0.214940043610315
262446,4.605105394013422,0.22480361943261226
270315,5.009347257686347,0.2445371599934851
273679,4.3732090205965015,0.21348332605882972
277609,5.320200768502447,0.25971183860901437
