group,ldpc_block,success,iterations,llr_min,llr_median_abs,llr_mean_abs,llr_max,hard_one_fraction
1,1,False,60,-40.0089977093054,39.99980260012056,39.99985812252288,40.01173536714074,0.4644808743169399
1,2,False,60,-40.010393529352854,39.99972795574362,39.99976079445845,40.00962947900445,0.4644808743169399
1,3,False,60,-40.008663408647855,39.999741011871336,39.99975477299228,40.010624482266614,0.46311475409836067
1,4,False,60,-40.008950734884145,39.999822815898,39.999745911862234,40.00978327616796,0.46584699453551914
1,5,False,60,-40.00977855086656,39.99978269907259,39.99976999233722,40.00920418281251,0.45286885245901637
1,6,False,60,-40.008695539128915,39.999888213243764,39.99984305860487,40.01211655025226,0.46994535519125685
1,7,False,60,-40.00780743855322,39.9997558704184,39.99976095574775,40.012282051349814,0.4993169398907104
1,8,False,60,-40.008052607334605,39.99983415518102,39.99980248364631,40.00832091406153,0.4610655737704918
1,9,False,60,-40.00885371505843,39.99992021224513,39.99982777587038,40.01141235382263,0.4719945355191257
1,10,False,60,-40.00994670794582,39.999730787818116,39.99982639585673,40.01127978053727,0.4685792349726776
1,11,False,60,-40.009613462819196,39.99982733159112,39.99980598099309,40.01058031195845,0.44603825136612024
1,12,False,60,-40.009106883099186,39.999874052903934,39.99984323656604,40.01054246720182,0.47472677595628415
1,13,False,60,-40.009121750702896,39.999935512982134,39.999913628006865,40.01254227299761,0.46311475409836067
1,14,False,60,-40.00934805491657,39.99990594460746,39.99976999899894,40.01015685717935,0.48155737704918034
1,15,False,60,-40.0085069412756,39.99963811174692,39.99968122835965,40.008802996951125,0.47540983606557374
1,16,False,60,-40.008218580941424,39.99962778385599,39.999724006271165,40.010641376002894,0.4644808743169399
1,17,False,60,-40.009582738108186,39.9998335084179,39.999856287391054,40.0090375711236,0.4801912568306011
1,18,False,60,-40.009518527656795,39.99981831583263,39.999834913287444,40.01059164509671,0.46994535519125685
1,19,False,60,-40.008767577536425,39.999915310754474,39.99984669259877,40.01159919067303,0.4672131147540984
1,20,False,60,-40.00794200070352,39.9998329838518,39.99988018146611,40.01054601664583,0.4651639344262295
1,21,False,60,-40.00979976019174,39.99982040991988,39.99979858674637,40.008882915538294,0.4651639344262295
1,22,False,60,-40.00938383859056,39.999793301892545,39.9997681571799,40.010654696563314,0.4760928961748634
1,23,False,60,-40.01024734200905,39.999764717425506,39.9997817717501,40.00955056868744,0.47540983606557374
1,24,False,60,-40.008462449833225,39.99979681473603,39.99979197629135,40.0109281979373,0.4685792349726776
1,25,False,60,-40.008104293774835,39.9997669997193,39.99978211986928,40.009510038786864,0.46584699453551914
1,26,False,60,-40.012305668821256,39.99972087384077,39.99973066314037,40.008969093623406,0.48360655737704916
1,27,False,60,-40.01099150211903,39.99988821904405,39.99987187022828,40.009010634595306,0.4644808743169399
1,28,False,60,-40.0088045258212,39.99978955423917,39.99979142848352,40.00987017768267,0.48155737704918034
1,29,False,60,-40.00775047941376,39.999712262250135,39.99975023910948,40.01031132762374,0.4801912568306011
1,30,False,60,-40.00911307328365,39.99978272723287,39.99977470561237,40.01057374353421,0.47950819672131145
1,31,False,60,-40.00803597366267,39.99990531712412,39.99994863219851,40.009602870845754,0.3743169398907104
1,32,True,1,39.990979040361886,40.00020164092467,40.00020705373427,40.01081353857137,0.0
1,33,True,1,39.990567088191575,40.00026480108433,40.00023337653779,40.00989287935984,0.0
1,34,True,1,39.99072144608171,40.00028622640373,40.00023615265253,40.01013731821425,0.0
1,35,True,1,39.99056708931333,40.00030890595198,40.000292420011704,40.010538695506234,0.0
