absolute_ofdm_block,kind,data_row,peak,rms,waveform_hash
41,data,38,1.6598008547361736,0.17382564447488896,bf1b09c10fa9ed911bc8443048b11d7ba6e9ac777f209571f5965ab68db978b2
42,data,39,1.5393991502963735,0.17167241304421782,3b4d5f5ec7616a21a2c7eeea4d0fc91afbd2f9fdbc966cc4b7d4dbeb6ec78fc9
43,data,40,1.3445862129613513,0.17218044802559218,058dfe2c02011a3c040c014be317e5724de0d8445f9a94e2c566fb28ea8683b3
44,data,41,1.434076887053517,0.1719311871646167,842fb152605b6242d5d292f48d3c714e0d0d35dff1b4c9f3fc51646cd9e7cf0d
45,data,42,1.2438973455916904,0.17005259964625594,40a57d9688beadcdd745a48bf157e75e769eb7f2df0a2708f6941b17a0e21467
46,data,43,1.2711125993908334,0.17116730178159342,943821d3238b9f0ee3749d929606df795cb34ffa5fe080a2ed32f49c8642762e
47,data,44,1.4145842846254297,0.17106911610430092,40462759c73e464d4d5cac9cadc5f10257185d2ac23a53610de30c4a7f5158f0
48,data,45,1.2957492880963362,0.1713351724376596,2eb4f2f246c05d0b1c19b787c7eee10327ca208dd742a11933a027f8ccdf596e
49,data,46,1.3217849986249997,0.17297035958894444,1e9981b973f566b9504a3b5ed41580cf4b466406ab15dca14808eca23002ca11
50,data,47,1.2541713314396767,0.17061942396990118,97ac0f582b949782c70f1ff592ca0e2be7e78d044205d5a31b0379f505aa2037
51,data,48,1.2109404612796708,0.17181201844718724,e4973371847588daee7823110a1e4edb2279e673176030792927948bad3e86d9
52,data,49,1.3763290797412082,0.1712929163963938,4fd3583d459ea69f74690320650da3d9001bb8115bc7ce91b9c270d8a3a6902c
53,data,50,1.0685024956789992,0.17087390069596586,0d02e6b6e8f6614fea71dd8c08a879bad32f1f2663b2404a592bb77f916a2b53
54,data,51,1.1962509074444518,0.17196140535423676,357d574628ab087c6903d15ed890359ab7d4e93ad4e20f47d0baf0114d668b9a
55,data,52,1.291713697346453,0.1718154731674831,78d80515bbb5ab0956143b40f0ebae81fe5e30cb3c317e0cd87f501e50446235
56,data,53,1.372023747887762,0.17022879740138722,83f6a795a1a774df7df87cf3c648b323f7e377cb7d3783e2d6200a8f39c85ed8
57,data,54,1.4251072149232087,0.1730877136366599,63640f3be5e9910e2cc3662ecd1b324c1eb9c2e9d3df1da779714e0e0e396140
58,data,55,1.4889325616596256,0.17053971433137396,d5606445a638b86397481668cdc7d096306414942433798e15cdf305cdc08fa0
59,data,56,1.433326459979096,0.17210578449974093,ecbfe2f5ce8a8865474254fc796da7a2476deff914a7ff5806ed847bbbdb24ae
60,known_pilot,,0.6320511926737163,0.1716992297725869,7c5e5f69ea47134d9a0902b6dcfa59559b3c326b209a26dc4c91d53ea20f9759
61,data,57,1.377617811915466,0.17061065326245076,15f0322e15c0457e051410c139ca577cb4f56784ff1c5cc3b7fa000b5192b22c
62,data,58,1.2975076325230996,0.17093941189764394,b499432bb3c4b4fcdfb5ee819835fdbcc22d09c0edc57b45a1f2887ba172965d
63,data,59,1.1662390079838203,0.171155625802017,9bf4411f585ecb5449de45673e7c158af2543c85fdf922f4ed252a03c6a19e5e
64,data,60,0.8204915302003255,0.17231427049535852,2e1b4191af443501b441e425ff3d48adb7b0cf2ac2e5e3ec0f424fff1e567985
65,data,61,0.7833982887646359,0.1732071015102786,49c0b263d7b6c2d9e20d6aefd99c40b68b4b5f7a2cf92cadc65f1d4e4e70b49f
66,data,62,0.7754361280999267,0.17001371216560007,811229749156e117355f498b569ba09bade79453b610bb06df2b636fcf08466a
67,data,63,0.6200368841678328,0.1711528090296256,7094a1911b8182f24b6e1fd3a459545c07078f8be5517ce48dbc178e6d9dbb3a
68,data,64,0.8018413038384238,0.17050814768349112,2f7a0a231346c09a493d870efc8848b2c9bbd083ab3173b53cdb688f06e948e9
69,data,65,0.7793370281105405,0.17199921414722621,27e843ab3001eaf12e7dcae73c77b86e6d3564b749e9f9c69f1969c757dadb95
70,data,66,0.6232171269478428,0.17183428634237422,f30feb14339c915af36172123618bcef5bb04b2394e9068ddec50f689be43f30
71,data,67,0.6351921640171148,0.17158108047903645,4a10eb9eafc57f120101f21fe214697f3da295aee240f48a5cb6bd2fb3693bee
72,data,68,0.6618480502693391,0.17121963533039258,049c5415951397a4f7d147f6ac47e35c6570584d46e7fe786aa2507a286cdf2e
73,data,69,0.6019242291308364,0.1713641924490986,e13229cb6fc3b757b635243b5afccb2d060f17781b8a8965d69d9292a1140cc1
74,data,70,0.7306831102141501,0.17089764133558055,567a1b37f09653490524a3e80b6d40907ff0bd643d48afe5cc43759aa151b94d
75,data,71,0.9594067097301101,0.17183837397393575,64ebb0b0bf4ca1b8fa6d574bbf303edcd3c5fd381a581ed88c58074c06c7835d
76,data,72,0.6204888460010541,0.17131729991818373,d9f27eaada014a46832f61684f2803e9c087ea1b51d57fa3d3a0bb15d9120f3e
77,data,73,0.6774339884212677,0.17090080281282113,d068069a5936ade8f9a33aa3dc0368463c66d0e5c59cd32e9615e60f3f432e16
78,data,74,0.7897787473200111,0.1716770238397946,393c4159345809b38ce0a661638d4308495584469bd648cdf41ae65f8037db4a
79,data,75,0.648934256893998,0.17171853391076738,7f6c85f45bb9ead10d607e7096f5716812ea8a4dcf96425fec9c58d2fd03cfbb
80,known_pilot,,0.6320511926737163,0.1716992297725869,7c5e5f69ea47134d9a0902b6dcfa59559b3c326b209a26dc4c91d53ea20f9759
81,data,76,0.6248990329099879,0.1704543217841262,ca0cc4ac26b5bbe71a525bb1ccbde291b511a8a77d567c95098afacab04761d1
82,data,77,0.6184241666769296,0.17163777184112664,b557140c236099e66c291809c0668c5efd3e1554d1be21255c20d425ce63fd24
83,data,78,0.6531305923688399,0.17108631897502727,cbcaabac9a9237c20d9569bd4be6a6048ba700181c248aa5804df93f74e3da75
84,data,79,0.7360398271216361,0.17069652532219973,6fb92e59ac825430d095ecfd139fb85090dc9adb879735388a630139d9cd3f65
85,data,80,0.797638183649054,0.1691813238004089,aa7abc005d581c4b923bb6388823a6745ade44272b269629210c4a6ca821f9ed
86,data,81,0.789676192980965,0.17120009644109013,fe0694022542a8e47d0c6759ecfcefea54e43caf46861c59ab09f9529dfb5e2b
87,data,82,0.8029663597962087,0.17147790574825741,cd5610f98cefb72397b0947e538ed332a553860f9e83cb0699041570c9912a90
88,data,83,0.6407502362941051,0.1706678769351564,d64279cc51a896c535b9058393adfd7e7dae8fba85a0aef78714ca8db9d46faf
89,data,84,0.7276446462540997,0.17066805738523877,fecd0a8e3d8e11b789980b78724e42f7339db34f3b38cb445f6ff24221191ce9
90,data,85,0.7735042927065943,0.17231750512083038,cdc3e52eef5f5028add8a679a6d2a0ea4d8d5cdd1dc817891fb1b051a038bea4
91,data,86,0.6431984165275856,0.17056149147411367,ae084b1c909e9d8e3dd554d473353aa0779ad158445f02603e30d4c9f3ffc7af
92,data,87,0.7212097497817376,0.1729752129919869,aafcc4cd6650064aad7832819fa12b233df38cbd90c746e2cd6d1141ef24c607
93,data,88,0.8055690165679422,0.17220945539749577,17d4331e2fde15f94264dafc205d31c926c1a2710dbdb0671f13b59fb8323dbf
94,data,89,0.6876171417654148,0.17210881795246455,2035caa33d3f39d49204e8d2937b56ff20cc63dbea19e41ddc3df1bd0384b752
