repeat,sequence,start_sample_after_sync,window_rms,pulse_peak,zero_gap_rms,direct_normalised_correlation
1,A,43008,0.04081486121228041,0.05000118646073804,1.8497020357790987e-07,0.9999999905040032
1,B,49152,0.04081486077599009,0.05000409405101099,2.2424562891142384e-07,0.9999999855589383
2,A,55296,0.04081486025158009,0.05000700147653988,2.635275411064214e-07,0.9999999795753578
2,B,61440,0.04081485963215488,0.05000990874042811,3.028140865395782e-07,0.9999999725617044
3,A,67584,0.04081485892702131,0.05001281584112455,3.4210421920521017e-07,0.9999999645064288
3,B,73728,0.04081485812410351,0.05001572277707833,3.813973153784322e-07,0.9999999554246864
4,A,79872,0.0408148572386522,0.05001862955139237,4.2069303938389995e-07,0.9999999452972202
4,B,86016,0.040814856266256576,0.05002153616096464,1.9318044712245803e-06,0.9999999341478785
