ofdm_block,expected_pilot,known_pilot_coherence,known_pilot_nmse_after_scalar_gain,best_scalar_gain_magnitude,best_scalar_gain_phase_rad,band_rms
1,False,0.01664572272495745,0.9997229199149641,0.010451082232779199,-0.8853544209432171,10.655034314307741
2,False,0.012928622478788681,0.9998328507208012,0.008117291218468619,1.6609472148266762,10.655040797787356
3,False,0.03413432971733851,0.9988348475347483,0.021431450475706763,2.1108834571134145,10.655073004234755
4,False,0.016311189259595543,0.9997339451049381,0.010241059175627528,-1.2040268926086135,10.655050014125328
5,False,0.039778591470432986,0.9984176636606281,0.024975129307747087,0.8264588395493387,10.655027827807578
6,False,0.011106060019580458,0.9998766554308416,0.006972986336877783,1.248652969930669,10.655038957616577
7,False,0.033975846963660156,0.998845641823102,0.021331838264096018,-0.03495236881549284,10.655019143110964
8,False,0.05880342156501289,0.9965421576122474,0.03692002436942704,-0.6160913610418797,10.655053287060024
9,False,0.028346509339889983,0.999196475408244,0.017797473161962528,-0.9029817227911576,10.655038030887054
10,False,0.03481684557539935,0.9987877872641784,0.021859941220809604,-1.228100527608352,10.655057861643058
11,False,0.020478195311890896,0.9995806435167673,0.012857360080035077,-1.0312131733061423,10.655071538032558
12,False,0.06697810847033557,0.9955139329857364,0.04205262224571235,-0.9348404265592468,10.655073439031867
13,False,0.025327892576920804,0.9993584978576117,0.01590223873908563,-0.9833465900614384,10.655049153549639
14,False,0.010468579459596901,0.9998904088440983,0.006572770521880127,-0.46525725546098473,10.65508601271127
15,False,0.020481216398469816,0.9995805197748391,0.0128592426269657,-1.0310905440727456,10.655059721702742
16,False,0.016890145019822535,0.9997147230012092,0.010604550710847791,-2.1601145346875374,10.655041330115312
17,False,0.012937122691198262,0.9998326308564724,0.008122630308443181,-1.480881579747794,10.655043677208145
18,False,0.037842277374591414,0.998567962043104,0.02375943683422685,-1.952331810249782,10.655040912903795
19,False,0.016641702697749856,0.9997230537313191,0.010448574812738604,0.6859682294314852,10.655051211539398
20,True,0.9999999496774427,1.0064511243694684e-07,0.6278534810643414,-0.0007768342709132496,10.65502743344044
21,False,0.05080301428792648,0.9974190537392605,0.03189693325267132,-2.6892719718057005,10.65505491820964
22,False,0.035559282067142206,0.9987355374588691,0.022326107860262217,-1.2702978171837738,10.65506929123159
23,False,0.012611922387783248,0.9998409394136849,0.007918444731956376,1.1890504750917215,10.655034106789616
24,False,0.04503426635458688,0.9979719148539035,0.02827516661071639,0.4860853782419797,10.6551194908482
25,False,0.05362618307525685,0.9971242324887792,0.033669520661375484,0.6295548436462308,10.655069600854368
26,False,0.04606422966980611,0.9978780867449272,0.028921691205544546,1.4424205266554693,10.655065305856859
27,False,0.025317493491778757,0.9993590245232946,0.015895804575291002,-0.9835974281219338,10.655112800566311
28,False,0.020737258976461767,0.9995699660901441,0.013020040079287311,-1.8581507707311598,10.655092237794548
29,False,0.040911792453601256,0.998326225238233,0.025686779817241163,-2.730363528069818,10.655096796093456
30,False,0.03022098647386368,0.9990866919765465,0.018974462238954645,-0.9509977068177803,10.65508904956742
31,False,0.02342444285848865,0.999451295476769,0.0147071750791011,-0.6446592540521101,10.655068256715325
32,False,0.016326872401618907,0.9997334332372885,6.089487067140245e-05,1.4279626342542466,0.06329566363775596
33,False,0.028471063625744624,0.9991893985357267,0.00010624234303451237,2.382440440534843,0.06332718625173132
34,False,0.010646098763593341,0.9998866605808169,3.9160038278252846e-05,0.22509624941159587,0.062423607143913665
