carrier_bin_shift,mean_expected_pilot_coherence,mean_expected_pilot_nmse
-4,0.04179418576224115,0.998253246036471
-3,0.025076757583741262,0.9993711562290852
-2,0.05799785874034571,0.9966362483815348
-1,0.04577062538815328,0.9979050498515775
0,0.9999999496774427,1.0064511243694684e-07
1,0.045741208679144225,0.9979077418285708
2,0.0580080010967223,0.9966350718087629
3,0.025080102710380834,0.9993709884480367
4,0.04179650370091608,0.9982530522783785
