repeat,sequence,start_sample_after_sync,window_rms,pulse_peak,zero_gap_rms,direct_normalised_correlation
1,A,43008,0.3547435383890823,0.5829205953709344,0.013149724736772433,0.04519955960096733
1,B,49152,0.3547294093066078,0.582922196966024,0.013149710939602635,0.04522662450593879
2,A,55296,0.3547428685768395,0.5829237985532228,0.013149697142439591,0.04520116962671437
2,B,61440,0.3547287387408881,0.5829254001233284,0.013149683345237967,0.04522823662289233
3,A,67584,0.35474219875401497,0.5829270016855431,0.013149669548090132,0.04520277966407668
3,B,73728,0.3547280681645901,0.5829286032306644,0.01314965575094635,0.04522984875137695
4,A,79872,0.3547415289206113,0.5829302047632936,0.01314964195380945,0.04520438971281006
4,B,86016,0.3547383342258711,0.5829318062834312,0.014006793060953072,0.04523146089151611
