ofdm_block,expected_pilot,known_pilot_coherence,known_pilot_nmse_after_scalar_gain,best_scalar_gain_magnitude,best_scalar_gain_phase_rad,band_rms
1,False,0.03776445746850091,0.9985738457521094,0.017158292154312537,-0.5194106201394552,7.710580084576621
2,False,0.026185231596596355,0.999314333646232,0.011897290882686614,-2.03484165633609,7.710595215348879
3,False,0.028919901103017204,0.9991636393201916,0.013139754264049456,-0.554693988375939,7.710573540459201
4,False,0.0152708767008782,0.9997668003247859,0.006938313827014792,0.07642470102380113,7.710565180793432
5,False,0.014246348921464239,0.9997970415424078,0.0064728243929170455,-1.4057399582173025,7.710570134525532
6,False,0.04142694865482407,0.9982838079251506,0.018822290619498253,-0.7458630725154,7.710557364235701
7,False,0.010464746728181281,0.9998904890759152,0.004754640905428448,-1.1084665686481032,7.710547988204661
8,False,0.043566347603553296,0.9981019733564855,0.019794357625555856,0.9376574329903424,7.710570351389629
9,False,0.01938292377163532,0.9996243022660628,0.008806642492517027,-0.4371308185941945,7.710584883038829
10,False,0.07303498852753441,0.9946658904507825,0.03318342711888897,-0.7178204361572968,7.710570556443872
11,False,0.01829961031760413,0.999665124262224,0.008314438243452425,0.6942044167205459,7.710584732676482
12,False,0.04152114815482885,0.9982759942559041,0.01886512888874748,-1.1960843086802493,7.7105732329650145
13,False,0.006829899205345424,0.9999533524768447,0.0031031571892112925,2.11154927132906,7.7105565125590605
14,False,0.05197312672054686,0.9972987940988896,0.023613977520383755,0.39239361971770825,7.710571068882276
15,False,0.040972603139604984,0.9983212457919648,0.018615903310361056,-1.0308928713703511,7.710575629564734
16,False,0.025282065962673947,0.9993608171406597,0.011486896517482458,-1.3372302089101475,7.710568369808254
17,False,0.01828647132605802,0.9996656049664407,0.008308411546310008,2.264851169509295,7.710531844703408
18,False,0.03974465437581683,0.9984203624485478,0.01805802602347401,2.355464607282266,7.710593249779663
19,False,0.02048797806187189,0.9995802427549371,0.009308751739421991,2.6000902754499826,7.71060741215101
20,True,0.9999999484276609,1.0314467531674912e-07,0.45434956944061067,-0.0007798986284931845,7.710568275587495
21,False,0.03110936168199755,0.9990322076157386,0.014134542348526341,-2.797147055690493,7.710577294984584
22,False,0.0331156193151053,0.9989033557573778,0.015046053397288204,0.7848122427198618,7.710560713540598
