repeat,sequence,start_sample_after_sync,window_rms,pulse_peak,zero_gap_rms,direct_normalised_correlation
1,A,43008,0.07420430809565524,0.09090583670265011,3.381834781061457e-07,0.999999990391373
1,B,49152,0.07420430729578273,0.09091113763748727,4.097882971045726e-07,0.9999999854047911
2,A,55296,0.07420430633483435,0.09091643827538247,4.814049420675105e-07,0.9999999793738747
2,B,61440,0.07420430520014591,0.09092173861351563,5.530299737383253e-07,0.9999999723071593
3,A,67584,0.07420430390880113,0.090927038654708,6.246615340028444e-07,0.9999999641929743
3,B,73728,0.07420430243864326,0.09093233839754997,6.962984952726414e-07,0.999999955046623
4,A,79872,0.07420430081764527,0.09093763784204219,7.679402466754672e-07,0.9999999448486749
4,B,86016,0.07420429901092068,0.09094293698536547,7.127024441806777e-07,0.999999933623179
