ofdm_block,cp_correlation,block_rms,block_peak
1,0.9999999994085533,0.07855203896884079,0.5670302831862452
2,0.9999999991666237,0.07755186977170528,0.5920279416955733
3,0.9999999990686538,0.07829432599613367,0.672204108509456
4,0.9999999995082074,0.07832376556397105,0.7234098419246273
5,0.9999999996319197,0.07747900008726936,0.5880497149329946
6,0.9999999990735108,0.07808062482198666,0.6737985957769029
7,0.9999999987594983,0.07747317277491649,0.7233020876557141
8,0.9999999995642455,0.07800478981082092,0.7284784098303166
9,0.9999999977495624,0.07792293071372142,0.5790987716461898
10,0.9999999988665599,0.07810580095255504,0.5222419210189339
11,0.9999999989227787,0.07733062073439019,0.7154895397421757
12,0.9999999978677719,0.07812212467817359,0.5299749952870749
13,0.9999999992782256,0.07758442295569909,0.6200570082412192
14,0.9999999990190118,0.0786753049206166,0.7056264700855484
15,0.9999999972846689,0.077881557336981,0.6182404727653552
16,0.9999999993060178,0.0775229300799467,0.6682370233717954
17,0.999999998122969,0.0777618549666948,0.5208515535991682
18,0.9999999964393514,0.07826632539965489,0.6418634043602389
19,0.9999999990583189,0.07762682073288614,0.5987306531303641
20,0.9999999991637722,0.07801151346170826,0.28713057534090397
21,0.9999999964868939,0.07686712892776702,0.6362139217278859
22,0.9999999986393872,0.07781479412308119,0.5586027331792379
23,0.9999999962113817,0.07809659332034564,0.5731509777274684
24,0.9999999983775476,0.07735430725018391,0.5749467901686148
25,0.9999999969536495,0.0776734493587364,0.5958081328860763
26,0.9999999925818344,0.07772612011730443,0.6587215551709606
27,0.9999999957949274,0.07766670664568631,0.7250183729365903
28,0.9999999976399314,0.0780486472917654,0.5895194984330071
29,0.9999999977308617,0.07837890679386415,0.799893734802556
30,0.9999999954598947,0.07747951710623223,0.5945781248572924
31,0.9999999929497425,0.07750383949182642,0.6215397424892469
32,0.999999994123759,0.07830438583279459,0.6383464190783973
33,0.9999999963921486,0.07775462928372197,0.5734573127988293
34,0.999999994342573,0.07823110964646957,0.6744203901846719
35,0.9999999978164099,0.07751166120508331,0.6139859884764405
36,0.9999999937259435,0.07876431298615126,0.5980343885656338
37,0.9999999942344185,0.07755072252829896,0.5996116036105353
38,0.9999999973689325,0.07757864812344356,0.6330066277175252
39,0.9999999952563343,0.07715871769117441,0.6699762116782121
40,0.9999999959798792,0.07801145376679779,0.2871052151535601
41,0.9999999941383367,0.07897788716394616,0.754156449609425
42,0.999999997249876,0.07799952604996678,0.6994590502227586
43,0.9999999854932781,0.07823004654515683,0.6106767733728454
44,0.9999999941398943,0.07811719045948877,0.6516178656496748
45,0.999999989259777,0.07726329412877198,0.565066522128161
46,0.999999996355779,0.0777697723534874,0.5775946247499387
47,0.9999999871777356,0.07772522408063061,0.6428443163521962
48,0.9999999960268596,0.07784607081932035,0.5889874606496274
49,0.9999999952936307,0.07858923191230834,0.6007064999943496
50,0.9999999926352003,0.07752077444761168,0.5697843871043172
51,0.9999999838767731,0.0780627987583353,0.5502272355656326
52,0.999999998315002,0.07782659768262845,0.6253783487266646
53,0.9999999942011744,0.07763640077596065,0.48522761500082573
54,0.9999999895993176,0.07813075944617406,0.543585544003112
55,0.9999999826505442,0.07806442048643188,0.5868111098415318
56,0.9999999932982032,0.07734344408504584,0.6236055157470758
57,0.999999990929953,0.07864217190516887,0.6472899428798662
58,0.9999999838905967,0.07748464137696932,0.6765178848874494
59,0.9999999966536355,0.07819615505752395,0.6514534659595131
60,0.9999999963594689,0.07801148733544477,0.2870797776027513
61,0.9999999745727663,0.07751707255266137,0.625859662778662
62,0.9999999956081896,0.07766631648463819,0.5892954173818145
63,0.9999999909269153,0.07776474628433848,0.5299124594142185
64,0.9999999916830221,0.07829108781789018,0.37270830539836775
65,0.9999999965110988,0.07869675295461225,0.3559683104962038
66,0.9999999898737625,0.0772455247625574,0.3526472963292241
67,0.9999999920665301,0.07776338726483366,0.28137737611612224
68,0.9999999976834223,0.07747037845016844,0.3642949966881419
69,0.9999999953727146,0.07814786353865685,0.35392601916739286
70,0.9999999977956516,0.07807277554605409,0.2831536309334529
71,0.9999999896015433,0.07795821024769631,0.2886243126310036
72,0.9999999983839132,0.0777935579440059,0.3004780255863499
73,0.9999999968979324,0.07785951606218532,0.2734956772830793
74,0.9999999964939178,0.07764737260865263,0.33192066326503866
75,0.9999999995941031,0.0780748376135245,0.4355419629077854
76,0.9999999903394023,0.07783827113015276,0.281693348178676
77,0.9999999975922395,0.07764881183984942,0.30781289944384005
78,0.9999999905668522,0.07800147296955577,0.35863279977705204
79,0.9999999983353325,0.07802047375095435,0.2948692995685808
80,0.9999999973002819,0.07801143647152521,0.2870542627165342
81,0.9999999937441841,0.07744591133540432,0.2840302993194209
82,0.9999999910520742,0.07798351013749755,0.28101499736304514
83,0.9999999991608355,0.07773317196889071,0.2967765254663773
84,0.9999999930324435,0.07755597580137029,0.33442080954072
85,0.9999999965243466,0.07686777627411825,0.36269171257743965
86,0.9999999714710326,0.07778471788621123,0.3585985306696991
87,0.9999999926491606,0.07791102629923413,0.36513737056413614
88,0.9999999935202145,0.0775428742842932,0.29094276706160893
89,0.9999999991495455,0.07754317898589486,0.3304154938579754
90,0.9999999920322435,0.07829249144587556,0.3513928038876376
91,0.9999999908001465,0.07749468293904553,0.29242268347254013
92,0.9999999957332901,0.07859145646077305,0.3274325089798864
93,0.999999975948708,0.07824341260160715,0.3660126196846134
94,0.9999999978356183,0.07819741462488275,0.31253080941493355
